timestamp,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,euler_yaw,euler_pitch,euler_roll
1751943734749,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0
1751943734850,1.0,0.0,0.0,0.0,0.0,0.0,9.81,4.63,-0.31,0.56,4.63,-0.31,0.56
1751943734992,1.0,0.0,0.0,0.0,0.0,0.0,9.81,9.06,2.81,-3.94,9.06,2.81,-3.94
1751943735062,1.0,0.0,0.0,0.0,0.0,0.0,9.81,10.75,1.81,-3.75,10.75,1.81,-3.75
1751943735180,1.0,0.0,0.0,0.0,0.0,0.0,9.81,11.06,1.25,-3.38,11.06,1.25,-3.38
1751943735383,1.0,0.0,0.0,0.0,0.0,0.0,9.81,11.44,0.88,-4.19,11.44,0.88,-4.19
1751943735484,1.0,0.0,0.0,0.0,0.0,0.0,9.81,10.38,0.94,-4.19,10.38,0.94,-4.19
1751943735589,1.0,0.0,0.0,0.0,0.0,0.0,9.81,10.19,0.81,-4.06,10.19,0.81,-4.06
1751943735709,1.0,0.0,0.0,0.0,0.0,0.0,9.81,8.94,1.0,-3.88,8.94,1.0,-3.88
1751943735812,1.0,0.0,0.0,0.0,0.0,0.0,9.81,5.5,1.75,-3.69,5.5,1.75,-3.69
1751943735915,1.0,0.0,0.0,0.0,0.0,0.0,9.81,1.63,3.38,-2.75,1.63,3.38,-2.75
1751943736018,1.0,0.0,0.0,0.0,0.0,0.0,9.81,358.5,4.75,-1.81,358.5,4.75,-1.81
1751943736122,1.0,0.0,0.0,0.0,0.0,0.0,9.81,356.25,5.19,-1.13,356.25,5.19,-1.13
1751943736239,1.0,0.0,0.0,0.0,0.0,0.0,9.81,354.06,6.06,0.0,354.06,6.06,0.0
1751943736355,1.0,0.0,0.0,0.0,0.0,0.0,9.81,351.19,6.75,1.31,351.19,6.75,1.31
1751943736455,1.0,0.0,0.0,0.0,0.0,0.0,9.81,348.44,7.69,3.31,348.44,7.69,3.31
1751943736655,1.0,0.0,0.0,0.0,0.0,0.0,9.81,344.44,8.63,6.06,344.44,8.63,6.06
1751943736772,1.0,0.0,0.0,0.0,0.0,0.0,9.81,342.75,8.81,7.25,342.75,8.81,7.25
1751943736873,1.0,0.0,0.0,0.0,0.0,0.0,9.81,341.31,8.94,8.56,341.31,8.94,8.56
1751943736989,1.0,0.0,0.0,0.0,0.0,0.0,9.81,340.38,9.06,9.5,340.38,9.06,9.5
1751943737089,1.0,0.0,0.0,0.0,0.0,0.0,9.81,339.0,9.19,10.56,339.0,9.19,10.56
1751943737208,1.0,0.0,0.0,0.0,0.0,0.0,9.81,337.13,9.38,11.75,337.13,9.38,11.75
1751943737310,1.0,0.0,0.0,0.0,0.0,0.0,9.81,336.0,9.38,12.75,336.0,9.38,12.75
1751943737412,1.0,0.0,0.0,0.0,0.0,0.0,9.81,335.0,9.19,13.13,335.0,9.19,13.13
1751943737515,1.0,0.0,0.0,0.0,0.0,0.0,9.81,335.13,9.69,13.81,335.13,9.69,13.81
