timestamp,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,euler_yaw,euler_pitch,euler_roll
1752001597002,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,12.06,18.0,1.06,12.06,18.0,1.06
1752001597121,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,6.88,18.75,2.5,6.88,18.75,2.5
1752001597438,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,321.63,13.69,6.19,321.63,13.69,6.19
1752001597671,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,315.44,11.75,12.31,315.44,11.75,12.31
1752001597788,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,313.0,10.5,14.44,313.0,10.5,14.44
1752001597905,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,310.44,9.94,16.25,310.44,9.94,16.25
1752001598423,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,290.56,11.63,23.69,290.56,11.63,23.69
1752001598557,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,286.31,11.13,24.25,286.31,11.13,24.25
1752001598674,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,282.75,9.5,23.5,282.75,9.5,23.5
1752001598791,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,279.0,9.56,24.19,279.0,9.56,24.19
1752001598924,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,275.44,10.63,25.38,275.44,10.63,25.38
1752001599142,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,269.5,12.25,29.63,269.5,12.25,29.63
1752001599276,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,266.13,12.63,31.19,266.13,12.63,31.19
1752001599393,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,264.75,13.0,32.31,264.75,13.0,32.31
1752001599526,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,264.06,13.44,33.19,264.06,13.44,33.19
1752001599744,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,264.25,15.13,35.81,264.25,15.13,35.81
1752001599978,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,264.25,16.81,38.19,264.25,16.81,38.19
1752001600094,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,265.19,17.44,38.38,265.19,17.44,38.38
1752001600326,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,265.31,18.06,38.94,265.31,18.06,38.94
1752001600438,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,265.0,18.38,39.19,265.0,18.38,39.19
