timestamp,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,euler_yaw,euler_pitch,euler_roll
1751943276329,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0
1751943276531,1.0,0.0,0.0,0.0,0.0,0.0,9.81,359.94,3.5,-13.88,359.94,3.5,-13.88
1751943276647,1.0,0.0,0.0,0.0,0.0,0.0,9.81,359.06,7.81,-24.25,359.06,7.81,-24.25
1751943276748,1.0,0.0,0.0,0.0,0.0,0.0,9.81,342.06,13.06,-8.13,342.06,13.06,-8.13
1751943276864,1.0,0.0,0.0,0.0,0.0,0.0,9.81,314.63,-16.44,5.31,314.63,-16.44,5.31
1751943276965,1.0,0.0,0.0,0.0,0.0,0.0,9.81,302.69,-26.25,7.75,302.69,-26.25,7.75
1751943277067,1.0,0.0,0.0,0.0,0.0,0.0,9.81,293.13,-26.44,15.5,293.13,-26.44,15.5
1751943277186,1.0,0.0,0.0,0.0,0.0,0.0,9.81,298.56,-19.88,27.0,298.56,-19.88,27.0
1751943277289,1.0,0.0,0.0,0.0,0.0,0.0,9.81,310.31,-12.44,25.63,310.31,-12.44,25.63
1751943277392,1.0,0.0,0.0,0.0,0.0,0.0,9.81,318.63,-6.44,24.56,318.63,-6.44,24.56
1751943277497,1.0,0.0,0.0,0.0,0.0,0.0,9.81,329.56,0.19,19.56,329.56,0.19,19.56
1751943277605,1.0,0.0,0.0,0.0,0.0,0.0,9.81,338.06,4.38,15.0,338.06,4.38,15.0
1751943277708,1.0,0.0,0.0,0.0,0.0,0.0,9.81,340.56,6.38,11.88,340.56,6.38,11.88
1751943277816,1.0,0.0,0.0,0.0,0.0,0.0,9.81,337.5,7.69,11.88,337.5,7.69,11.88
1751943277925,1.0,0.0,0.0,0.0,0.0,0.0,9.81,333.13,7.81,13.94,333.13,7.81,13.94
1751943278025,1.0,0.0,0.0,0.0,0.0,0.0,9.81,327.44,3.25,13.75,327.44,3.25,13.75
1751943278142,1.0,0.0,0.0,0.0,0.0,0.0,9.81,322.19,-1.38,14.31,322.19,-1.38,14.31
1751943278242,1.0,0.0,0.0,0.0,0.0,0.0,9.81,317.06,-6.31,14.63,317.06,-6.31,14.63
1751943278358,1.0,0.0,0.0,0.0,0.0,0.0,9.81,311.75,-10.63,15.0,311.75,-10.63,15.0
1751943278459,1.0,0.0,0.0,0.0,0.0,0.0,9.81,307.75,-14.88,14.0,307.75,-14.88,14.0
1751943278559,1.0,0.0,0.0,0.0,0.0,0.0,9.81,305.75,-19.19,14.5,305.75,-19.19,14.5
1751943278676,1.0,0.0,0.0,0.0,0.0,0.0,9.81,305.81,-23.25,14.69,305.81,-23.25,14.69
1751943278776,1.0,0.0,0.0,0.0,0.0,0.0,9.81,309.44,-25.56,17.5,309.44,-25.56,17.5
1751943278994,1.0,0.0,0.0,0.0,0.0,0.0,9.81,315.63,-30.44,22.81,315.63,-30.44,22.81
1751943279094,1.0,0.0,0.0,0.0,0.0,0.0,9.81,318.31,-33.94,25.69,318.31,-33.94,25.69
1751943279211,1.0,0.0,0.0,0.0,0.0,0.0,9.81,321.0,-33.44,26.5,321.0,-33.44,26.5
1751943279312,1.0,0.0,0.0,0.0,0.0,0.0,9.81,323.63,-30.13,27.38,323.63,-30.13,27.38
1751943279412,1.0,0.0,0.0,0.0,0.0,0.0,9.81,322.44,-9.44,-6.38,322.44,-9.44,-6.38
1751943279528,1.0,0.0,0.0,0.0,0.0,0.0,9.81,324.63,-8.88,-6.56,324.63,-8.88,-6.56
1751943279628,1.0,0.0,0.0,0.0,0.0,0.0,9.81,326.5,-7.56,-6.88,326.5,-7.56,-6.88
1751943279745,1.0,0.0,0.0,0.0,0.0,0.0,9.81,327.38,-6.69,-7.88,327.38,-6.69,-7.88
1751943279845,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.75,-6.31,-8.0,37.75,-6.31,-8.0
1751943279946,1.0,0.0,0.0,0.0,0.0,0.0,9.81,39.56,-6.88,-7.88,39.56,-6.88,-7.88
1751943280048,1.0,0.0,0.0,0.0,0.0,0.0,9.81,43.44,-7.19,-6.88,43.44,-7.19,-6.88
1751943280264,1.0,0.0,0.0,0.0,0.0,0.0,9.81,46.44,-7.13,-6.5,46.44,-7.13,-6.5
1751943280381,1.0,0.0,0.0,0.0,0.0,0.0,9.81,46.88,-7.5,-6.63,46.88,-7.5,-6.63
1751943280481,1.0,0.0,0.0,0.0,0.0,0.0,9.81,47.44,-8.0,-6.44,47.44,-8.0,-6.44
1751943280598,1.0,0.0,0.0,0.0,0.0,0.0,9.81,47.88,-7.69,-6.0,47.88,-7.69,-6.0
1751943280698,1.0,0.0,0.0,0.0,0.0,0.0,9.81,47.69,-8.25,-5.81,47.69,-8.25,-5.81
1751943280815,1.0,0.0,0.0,0.0,0.0,0.0,9.81,47.06,-8.0,-5.31,47.06,-8.0,-5.31
1751943280915,1.0,0.0,0.0,0.0,0.0,0.0,9.81,46.44,-7.88,-5.0,46.44,-7.88,-5.0
1751943281016,1.0,0.0,0.0,0.0,0.0,0.0,9.81,45.5,-7.38,-4.56,45.5,-7.38,-4.56
1751943281118,1.0,0.0,0.0,0.0,0.0,0.0,9.81,43.88,-7.25,-4.13,43.88,-7.25,-4.13
1751943281239,1.0,0.0,0.0,0.0,0.0,0.0,9.81,40.94,-6.5,-3.19,40.94,-6.5,-3.19
1751943281341,1.0,0.0,0.0,0.0,0.0,0.0,9.81,38.25,-6.38,-3.06,38.25,-6.38,-3.06
1751943281449,1.0,0.0,0.0,0.0,0.0,0.0,9.81,35.75,-5.94,-2.5,35.75,-5.94,-2.5
1751943281552,1.0,0.0,0.0,0.0,0.0,0.0,9.81,32.75,-5.75,-2.31,32.75,-5.75,-2.31
1751943281659,1.0,0.0,0.0,0.0,0.0,0.0,9.81,30.13,-5.75,-2.63,30.13,-5.75,-2.63
