timestamp,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,euler_yaw,euler_pitch,euler_roll
1752000038200,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752000038316,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,338.88,4.63,-0.56,338.88,4.63,-0.56
1752000038551,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,11.5,-14.0,-20.25,11.5,-14.0,-20.25
1752000038668,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,22.38,-22.81,-24.63,22.38,-22.81,-24.63
1752000038784,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,18.56,-23.88,-25.0,18.56,-23.88,-25.0
1752000038918,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,14.31,-24.81,-22.56,14.31,-24.81,-22.56
1752000039035,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,4.5,-20.5,-23.31,4.5,-20.5,-23.31
1752000039268,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,1.69,-21.56,-22.44,1.69,-21.56,-22.44
1752000039386,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,11.94,-24.81,-16.06,11.94,-24.81,-16.06
1752000039503,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,20.44,-26.19,-12.44,20.44,-26.19,-12.44
1752000039620,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,28.25,-24.88,-7.63,28.25,-24.88,-7.63
1752000039854,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,38.38,-25.56,-2.44,38.38,-25.56,-2.44
1752000039971,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,47.38,-27.81,1.0,47.38,-27.81,1.0
1752000040088,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,55.75,-28.44,6.63,55.75,-28.44,6.63
1752000040322,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,67.5,-25.0,15.5,67.5,-25.0,15.5
1752000040440,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,71.63,-21.88,20.19,71.63,-21.88,20.19
1752000040657,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,75.38,-15.0,27.5,75.38,-15.0,27.5
1752000040774,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,70.44,-12.56,31.44,70.44,-12.56,31.44
1752000040890,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,74.31,30.06,14.0,74.31,30.06,14.0
1752000041024,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,70.44,34.25,17.88,70.44,34.25,17.88
1752000041140,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,67.38,38.63,18.0,67.38,38.63,18.0
1752000041258,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,62.69,43.63,17.0,62.69,43.63,17.0
1752000041492,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,51.88,48.94,19.63,51.88,48.94,19.63
1752000041609,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,45.75,49.44,22.88,45.75,49.44,22.88
1752000041726,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,40.56,48.44,23.56,40.56,48.44,23.56
1752000041843,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,35.75,46.31,25.06,35.75,46.31,25.06
1752000042059,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,28.25,40.5,23.75,28.25,40.5,23.75
