timestamp,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,euler_yaw,euler_pitch,euler_roll
1752000108839,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752000109073,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,34.56,-5.0,6.56,34.56,-5.0,6.56
1752000109390,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,20.19,-0.63,8.5,20.19,-0.63,8.5
1752000109707,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,17.44,-13.06,11.19,17.44,-13.06,11.19
1752000109943,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,28.5,-13.69,19.0,28.5,-13.69,19.0
1752000110059,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,35.81,-14.5,24.25,35.81,-14.5,24.25
1752000110176,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,43.81,-15.25,31.19,43.81,-15.25,31.19
1752000110510,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,64.25,-5.38,47.88,64.25,-5.38,47.88
1752000110627,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,67.38,-1.13,53.94,67.38,-1.13,53.94
1752000110945,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,58.25,13.06,72.31,58.25,13.06,72.31
1752000111062,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,50.69,16.81,79.56,50.69,16.81,79.56
1752000111179,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,44.0,18.69,85.0,44.0,18.69,85.0
1752000111312,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,207.06,17.5,87.19,207.06,17.5,87.19
1752000111429,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,205.5,17.5,89.75,205.5,17.5,89.75
1752000111746,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,195.19,15.38,96.69,195.19,15.38,96.69
1752000111863,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,190.13,13.69,98.88,190.13,13.69,98.88
1752000111981,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,185.56,12.13,100.38,185.56,12.13,100.38
1752000112116,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,180.44,10.13,101.38,180.44,10.13,101.38
1752000112235,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,177.06,9.06,101.5,177.06,9.06,101.5
1752000112354,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,173.88,8.06,101.0,173.88,8.06,101.0
1752000112491,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,171.31,6.94,99.75,171.31,6.94,99.75
1752000112714,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,166.44,5.56,97.19,166.44,5.56,97.19
1752000112826,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,164.38,4.75,95.19,164.38,4.75,95.19
1752000113058,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,158.25,3.0,89.19,158.25,3.0,89.19
1752000113175,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,155.44,1.44,87.19,155.44,1.44,87.19
1752000113409,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,150.25,-0.5,82.5,150.25,-0.5,82.5
1752000113626,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,146.69,-3.31,78.06,146.69,-3.31,78.06
1752000113743,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,147.06,-4.63,76.44,147.06,-4.63,76.44
1752000113860,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,150.44,-4.63,76.88,150.44,-4.63,76.88
1752000114194,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,190.75,3.63,67.13,190.75,3.63,67.13
1752000114311,1.0,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,0.0,0.0,0.0,179.88,-0.38,68.75,179.88,-0.38,68.75
