timestamp,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,euler_yaw,euler_pitch,euler_roll
1751943006553,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943006740,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943006848,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943006956,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943007162,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943007267,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943007371,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943007477,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943007586,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943007692,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943007801,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943007908,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943008017,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943008122,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943008231,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943008338,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943008443,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943008553,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943008661,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943008771,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943008879,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943008984,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943009091,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943009196,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943009305,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943009412,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943009521,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943009626,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943009733,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943009942,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943010047,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943010157,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943010264,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943010369,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943010475,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943010580,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943010685,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943010794,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943010900,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943011009,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943011118,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943011226,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943011331,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943011438,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943011542,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943011647,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943011754,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943011863,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943011968,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943012073,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943012179,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943012384,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943012490,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943012595,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943012700,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943012812,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943012919,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943013024,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943013132,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943013236,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943013346,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943013447,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943013552,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943013658,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943013773,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943013879,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943013982,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943014087,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943014195,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943014298,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943014404,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943014517,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943014826,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943014933,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943015040,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943015147,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943015250,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943015357,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943015461,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943015570,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
1751943015678,1.0,0.0,0.0,0.0,0.0,0.0,9.81,18.13,-5.31,7.19,18.13,-5.31,7.19
