timestamp,heading,roll,pitch,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature
1752776005379,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752776005520,359.81,-11.69,-113.69,0.13,-0.41,0.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776005558,359.81,-11.69,-113.69,0.11,-0.38,0.06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776005599,359.81,-11.69,-113.69,0.1,-0.4,0.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776005841,0.81,-11.81,-113.56,0.12,-0.4,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776005881,0.81,-11.81,-113.56,0.11,-0.38,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776005921,0.81,-11.81,-113.5,0.09,-0.33,0.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776005959,0.81,-11.81,-113.56,0.1,-0.38,0.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006000,0.88,-11.81,-113.56,0.11,-0.35,0.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006038,0.88,-11.88,-113.56,0.11,-0.37,0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006073,0.81,-11.81,-113.56,0.11,-0.4,0.09,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006110,0.69,-11.75,-113.69,0.12,-0.39,0.06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006152,0.44,-11.69,-113.81,0.2,-0.53,-0.46,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006192,0.44,-11.69,-113.81,0.2,-0.38,-0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006230,0.38,-11.69,-113.81,0.03,-0.36,0.19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006273,0.38,-11.69,-113.81,0.08,-0.36,0.17,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006310,0.38,-11.69,-113.81,0.08,-0.37,0.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006350,0.38,-11.69,-113.81,0.13,-0.38,0.06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006389,0.38,-11.69,-113.81,0.1,-0.38,0.12,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006423,0.38,-11.69,-113.81,0.1,-0.36,0.08,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006463,0.38,-11.69,-113.81,0.09,-0.37,0.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006501,0.38,-11.69,-113.81,0.09,-0.37,0.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006541,0.38,-11.69,-113.81,0.09,-0.36,0.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006581,0.38,-11.69,-113.81,0.08,-0.35,0.14,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006716,0.38,-11.69,-113.81,0.01,-0.04,-0.07,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006752,0.38,-11.69,-113.81,0.02,-0.03,-0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006791,0.38,-11.69,-113.81,0.01,0.0,-0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006932,0.38,-11.69,-113.81,0.03,-0.03,-0.06,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776006964,0.38,-11.69,-113.81,0.02,-0.03,-0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007003,0.38,-11.69,-113.81,0.03,-0.01,-0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007041,0.38,-11.69,-113.81,0.02,0.0,-0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007075,0.38,-11.69,-113.81,0.02,-0.02,-0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007211,0.38,-11.69,-113.81,0.05,-0.02,-0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007244,0.38,-11.69,-113.81,0.01,-0.02,-0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007286,0.38,-11.69,-113.81,0.01,-0.03,-0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007318,0.38,-11.69,-113.81,0.02,-0.03,-0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007359,0.38,-11.69,-113.81,0.06,0.0,-0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007392,0.38,-11.69,-113.81,0.03,-0.01,-0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007426,0.38,-11.69,-113.81,0.01,-0.01,-0.02,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007564,0.38,-11.69,-113.81,0.01,-0.01,-0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007604,0.38,-11.69,-113.81,0.0,0.0,-0.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007643,0.38,-11.69,-113.81,0.02,-0.03,-0.05,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007677,0.38,-11.69,-113.81,0.0,-0.02,-0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007714,0.38,-11.69,-113.81,0.02,-0.04,-0.04,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1752776007755,0.38,-11.69,-113.81,0.03,-0.02,-0.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
