timestamp,heading,roll,pitch,acc_x,acc_y,acc_z,lin_acc_x,lin_acc_y,lin_acc_z,quat_w,quat_x,quat_y,quat_z,mag_x,mag_y,mag_z,temperature
1752776478439,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752776478468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776478601,356.31,-1.31,-4.38,1.16,-3.07,-18.41,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776478637,355.75,-3.63,-9.31,0.89,0.91,-19.37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776478668,354.94,-4.94,-14.75,2.89,-8.42,-17.26,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776478911,357.13,-5.88,-20.63,4.18,-8.16,-18.01,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776478949,358.0,-5.63,-19.31,4.84,-10.65,-17.99,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776478982,358.19,-5.13,-19.81,2.66,-7.26,-20.36,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776479020,358.19,-4.44,-19.13,1.56,-8.06,-17.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776499640,0.0,0.0,0.0,0.0,0.0,9.81,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1752776499781,359.25,-0.19,-1.13,0.15,-4.47,-18.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776499820,358.88,-0.19,-1.44,0.08,-5.52,-17.77,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776499959,357.94,0.19,-2.56,-0.56,-6.36,-18.11,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776499991,357.81,0.25,-2.69,-0.48,-5.72,-18.29,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776500026,181.38,-1.13,149.06,-0.47,-5.55,-18.27,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
1752776500164,182.44,-1.63,149.38,0.15,0.3,-0.35,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
