timestamp,quat_w,quat_x,quat_y,quat_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,euler_yaw,euler_pitch,euler_roll
1751943810623,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943810734,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943810942,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943811041,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943811151,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943811250,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943811364,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943811468,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943811579,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943811685,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943811788,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943811901,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943812000,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943812109,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943812225,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943812326,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943812442,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943812542,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943812659,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943812759,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943812876,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943812976,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943813094,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943813194,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943813312,1.0,0.0,0.0,0.0,0.0,0.0,9.81,37.56,0.19,3.81,37.56,0.19,3.81
1751943813513,1.0,0.0,0.0,0.0,0.0,0.0,9.81,30.44,-0.13,3.19,30.44,-0.13,3.19
1751943813613,1.0,0.0,0.0,0.0,0.0,0.0,9.81,21.69,-0.63,3.31,21.69,-0.63,3.31
1751943813730,1.0,0.0,0.0,0.0,0.0,0.0,9.81,14.38,-1.06,3.69,14.38,-1.06,3.69
1751943813830,1.0,0.0,0.0,0.0,0.0,0.0,9.81,11.44,-1.13,3.31,11.44,-1.13,3.31
1751943813930,1.0,0.0,0.0,0.0,0.0,0.0,9.81,7.06,-1.38,3.44,7.06,-1.38,3.44
1751943814047,1.0,0.0,0.0,0.0,0.0,0.0,9.81,2.75,-1.44,3.31,2.75,-1.44,3.31
1751943814149,1.0,0.0,0.0,0.0,0.0,0.0,9.81,357.25,-1.75,3.31,357.25,-1.75,3.31
1751943814266,1.0,0.0,0.0,0.0,0.0,0.0,9.81,351.19,-2.0,3.19,351.19,-2.0,3.19
1751943814366,1.0,0.0,0.0,0.0,0.0,0.0,9.81,346.88,-2.13,3.0,346.88,-2.13,3.0
1751943814482,1.0,0.0,0.0,0.0,0.0,0.0,9.81,352.63,-1.88,3.25,352.63,-1.88,3.25
1751943814583,1.0,0.0,0.0,0.0,0.0,0.0,9.81,1.63,-1.5,3.5,1.63,-1.5,3.5
1751943814683,1.0,0.0,0.0,0.0,0.0,0.0,9.81,6.88,-1.31,3.56,6.88,-1.31,3.56
1751943814783,1.0,0.0,0.0,0.0,0.0,0.0,9.81,15.69,-1.81,4.19,15.69,-1.81,4.19
